case,mode,salt_type,fertile_mol_pct,mouth_total,mouth_sub0.8MeV,mouth_gt10MeV,1m_total,1m_sub0.8MeV,1m_gt10MeV,U235_capture_xs_per_cm,U235_fission_xs_per_cm,U238_capture_xs_per_cm,U238_fission_xs_per_cm,U_capture_xs_per_cm,U_fission_xs_per_cm,U235_capture_xs_unc_per_cm,U235_fission_xs_unc_per_cm,U238_capture_xs_unc_per_cm,U238_fission_xs_unc_per_cm,U_capture_xs_unc_per_cm,U_fission_xs_unc_per_cm
collimated_FLiBe_0.5molUF4_10cm,collimated,FLiBe,0.5,2.374829e+05,3.173506e+04,1.785170e+05,3.614269e+06,4.501666e+05,2.652416e+06,3.164691e-08,8.809083e-07,2.301825e-06,5.788705e-05,2.333472e-06,5.876796e-05,3.946900e-09,7.939913e-09,2.920152e-07,4.611015e-07,2.920419e-07,4.611699e-07
collimated_FLiBe_5.0molUF4_10cm,collimated,FLiBe,5.0,2.374349e+05,3.168702e+04,1.785170e+05,3.610136e+06,4.486512e+05,2.652104e+06,2.982213e-07,8.727933e-06,2.082868e-05,5.696029e-04,2.112690e-05,5.783309e-04,1.719322e-08,7.115777e-08,1.202786e-06,4.524909e-06,1.202909e-06,4.525469e-06
collimated_FLiBe_10.0molUF4_10cm,collimated,FLiBe,10.0,2.374589e+05,3.171105e+04,1.785170e+05,3.606240e+06,4.464008e+05,2.652128e+06,6.274187e-07,1.738727e-05,4.097001e-05,1.121589e-03,4.159743e-05,1.138976e-03,3.643895e-08,1.453059e-07,1.511377e-06,8.881650e-06,1.511816e-06,8.882839e-06
collimated_ClLiF_0.5molUCl3_10cm,collimated,ClLiF,0.5,2.379645e+05,3.207460e+04,1.785170e+05,3.634713e+06,4.565287e+05,2.654110e+06,5.662401e-08,2.291398e-06,4.725786e-06,1.549461e-04,4.782410e-06,1.572375e-04,5.456162e-09,2.217538e-08,7.858278e-07,1.347981e-06,7.858467e-07,1.348163e-06
collimated_ClLiF_5.0molUCl3_10cm,collimated,ClLiF,5.0,2.380085e+05,3.207054e+04,1.785170e+05,3.627145e+06,4.536420e+05,2.653893e+06,5.131045e-07,2.028984e-05,3.893899e-05,1.351036e-03,3.945209e-05,1.371326e-03,3.961170e-08,1.925050e-07,2.534293e-06,1.164141e-05,2.534603e-06,1.164300e-05
collimated_ClLiF_10.0molUCl3_10cm,collimated,ClLiF,10.0,2.379285e+05,3.203860e+04,1.785170e+05,3.618759e+06,4.496161e+05,2.653749e+06,9.161951e-07,3.589387e-05,6.965882e-05,2.366162e-03,7.057501e-05,2.402056e-03,4.516286e-08,3.078404e-07,2.062209e-06,2.046235e-05,2.062704e-06,2.046466e-05
collimated_air_background_10cm,collimated,air,0.0,2.382521e+05,3.244778e+04,1.785170e+05,3.694120e+06,4.704940e+05,2.658096e+06,,,,,,,,,,,,
moderated_FLiBe_0.5molUF4_10cm,moderated,FLiBe,0.5,5.884710e+04,5.330566e+04,6.885199e+02,1.181019e+07,1.053698e+07,2.168637e+05,5.943897e-07,1.560105e-06,8.807793e-05,2.344662e-06,8.867232e-05,3.904767e-06,3.570186e-08,5.517611e-08,2.355065e-05,1.553664e-07,2.355068e-05,1.648731e-07
moderated_FLiBe_5.0molUF4_10cm,moderated,FLiBe,5.0,5.884710e+04,5.330566e+04,6.885199e+02,1.181002e+07,1.053691e+07,2.168517e+05,5.676830e-06,1.516163e-05,4.730206e-04,2.379727e-05,4.786974e-04,3.895889e-05,3.345211e-07,4.947738e-07,7.319928e-05,1.548945e-06,7.320004e-05,1.626048e-06
moderated_FLiBe_10.0molUF4_10cm,moderated,FLiBe,10.0,5.884710e+04,5.330566e+04,6.885199e+02,1.180992e+07,1.053679e+07,2.168517e+05,1.116575e-05,2.980394e-05,8.082873e-04,4.718112e-05,8.194531e-04,7.698506e-05,6.717664e-07,9.499290e-07,9.764814e-05,3.057942e-06,9.765046e-05,3.202089e-06
moderated_ClLiF_0.5molUCl3_10cm,moderated,ClLiF,0.5,5.842962e+04,5.279349e+04,6.885199e+02,1.181942e+07,1.054522e+07,2.168637e+05,1.294766e-06,3.513929e-06,1.633246e-04,6.016239e-06,1.646194e-04,9.530168e-06,8.372739e-08,1.161479e-07,3.653823e-05,4.062922e-07,3.653833e-05,4.225680e-07
moderated_ClLiF_5.0molUCl3_10cm,moderated,ClLiF,5.0,5.842962e+04,5.279349e+04,6.885199e+02,1.181956e+07,1.054547e+07,2.168757e+05,1.157304e-05,3.175978e-05,7.353460e-04,5.302054e-05,7.469190e-04,8.478031e-05,7.367470e-07,1.136733e-06,1.039672e-04,3.615471e-06,1.039698e-04,3.789959e-06
moderated_ClLiF_10.0molUCl3_10cm,moderated,ClLiF,10.0,5.842962e+04,5.279349e+04,6.885199e+02,1.181939e+07,1.054534e+07,2.168637e+05,2.095752e-05,5.753038e-05,1.074234e-03,9.613804e-05,1.095191e-03,1.536684e-04,1.292364e-06,2.031041e-06,1.208605e-04,6.484011e-06,1.208674e-04,6.794669e-06
moderated_air_background_10cm,moderated,air,0.0,5.861791e+04,5.310529e+04,6.885199e+02,1.184752e+07,1.057227e+07,2.168757e+05,,,,,,,,,,,,
